>TF_motif_seq_0208
0	0	1	0
1	0	0	0
0	1	0	0
0	0	1	0
0	0	0	1
0	0	1	0
0	0	0	1
1	0	0	0
1	0	0	0
1	0	0	0
0	0	1	0
0	0	0	1
1	0	0	0
1	0	0	0
1	0	0	0
0	0	0	1
0	0	0	1
0	0	0	1
1	0	0	0
0	1	0	0
1	0	0	0
1	0	0	0
0	1	0	0
>TF_motif_seq_0231
0	1	0	0
0	0	1	0
0	0	0	1
0	0	1	0
0	1	0	0
1	0	0	0
1	0	0	0
0	0	1	0
0	1	0	0
0	1	0	0
0	1	0	0
1	0	0	0
1	0	0	0
1	0	0	0
0	0	1	0
0	0	1	0
0	1	0	0
0	1	0	0
1	0	0	0
1	0	0	0
0	0	0	1
0	1	0	0
0	0	1	0
0	0	1	0
0	1	0	0
0	1	0	0
0	1	0	0
1	0	0	0
0	0	1	0
1	0	0	0
>TF_motif_seq_0493
0.5	0	0.5	0
0	0	0	1
0	0	1	0
1	0	0	0
0	0	1	0
0	0	0	1
0	1	0	0
1	0	0	0
0	0	0	1
>TF_motif_seq_0192
1	0	0	0
0	1	0	0
1	0	0	0
0	0	0	1
1	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
0	0	0	1
1	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
0	0	1	0
0	0	1	0
0	1	0	0
1	0	0	0
>TF_motif_seq_0037
0	0	1	0
0	1	0	0
0	1	0	0
1	0	0	0
0	1	0	0
0	0	1	0
0	0	0	1
0	0	1	0
0	0	1	0
0	0	1	0
>TF_motif_seq_0048
0	0	0	1
0	1	0	0
0	1	0	0
1	0	0	0
0	1	0	0
0	0	1	0
0	0	0	1
0	1	0	0
0	0	0	1
0	1	0	0
>TF_motif_seq_0096
1	0	0	0
0	1	0	0
0	0	1	0
0	1	0	0
0	0	1	0
0	1	0	0
0	1	0	0
0	0	0	1
0	1	0	0
0	1	0	0
0	0	0	1
0	1	0	0
>TF_motif_seq_0343
1	0	0	0
1	0	0	0
1	0	0	0
0	1	0	0
1	0	0	0
1	0	0	0
1	0	0	0
>TF_motif_seq_0291
1	0	0	0
0	0	1	0
0	1	0	0
1	0	0	0
0	0	1	0
